proposal_id,text
P00025,"Support disaster preparedness and response planning in Rampur Gram Panchayat. Students will help identify safe shelters, evacuation routes, and communication chains, and prepare a simple poster for display."
P00026,Coordinate a tree plantation and survival monitoring initiative along village roads and common lands in Yamuna Kheda. The project must link plantations to watering and protection responsibilities.
P00027,"Design a solid waste segregation and composting system for households near the main street of Neelgaon. The team will map households, propose collection points, and set up at least one small composting unit."
P00028,"Support drinking water source protection for key borewells in Ganga Khand. The project includes mapping contamination risks, proposing simple fencing or platforms, and discussing actions with the water committee."
P00029,"Support low-cost housing construction quality monitoring for PMAY houses in Saraswati Nagar. The project includes checking plinth levels, basic reinforcement details, and usable toilet provision."
P00030,"Assist in planning and measurement of MGNREGA works around Panchvati Kalan such as bunds and plantations. The project includes simple layout sketches, basic measurement sheets, and worker feedback collection."
P00031,Develop a groundwater level monitoring plan for open wells and borewells in and around Kaveri Tanda. The project will set up simple measurement protocols and a shared register with the panchayat.
P00032,"Support common land development and pasture management planning in Saraswati Nagar. Students will map existing uses, discuss needs with herders, and suggest soil and moisture conservation measures."
P00033,"Support panchayat planning and budgeting in Nirmalgaon by compiling data on WASH, roads, and livelihood assets. The project will help convert this into a simple presentation for the gram sabha."
P00034,"Support baseline and endline studies for a new Gram Sahayta initiative in Rampur Gram Panchayat. Students will design questionnaires, manage mobile data collection, and assist in data cleaning and analysis."
P00035,"Support a small social audit-style review of one scheme in Saraswati Nagar. The project includes household verification, public sharing of findings, and documenting agreed corrective actions."
P00036,Coordinate a tree plantation and survival monitoring initiative along village roads and common lands in Neelgaon. The project must link plantations to watering and protection responsibilities.
P00037,"Facilitate an integrated pest management demonstration in a common crop grown around Bhagirathi Pur. The project emphasizes non-chemical practices and farmer field schools, with simple monitoring charts."
P00038,"Support common land development and pasture management planning in Bhavani Kheda. Students will map existing uses, discuss needs with herders, and suggest soil and moisture conservation measures."
P00039,"Support disaster preparedness and response planning in Devnagar. Students will help identify safe shelters, evacuation routes, and communication chains, and prepare a simple poster for display."
P00040,"Set up a lightweight project management tracker for village-level works in Shanti Nagar Panchayat. The tool will track tasks, budgets, and timelines and generate quick status snapshots for officials."
P00041,"Assist anganwadi strengthening in Rampur Gram Panchayat by helping track child growth, supply gaps, and parental counseling sessions. Students will support simple malnutrition screening and referral documentation."
P00042,"Support disaster preparedness and response planning in Hariyali Dham. Students will help identify safe shelters, evacuation routes, and communication chains, and prepare a simple poster for display."
P00043,Plan a village-wide drinking water quality assessment in Suryapur. The project will test handpumps and standposts for basic parameters and record sanitary risks around each source. Students must design simple feedback cards for households and share results with the panchayat.
P00044,Develop a groundwater level monitoring plan for open wells and borewells in and around Ganga Khand. The project will set up simple measurement protocols and a shared register with the panchayat.
P00045,"Support kitchen gardens and nutrition gardens for anganwadi-linked households in Hariyali Dham. Students will help design small plots, choose crop mixes, and document yield and diet changes over one season."
P00046,"Plan a WASH in schools improvement drive in Lakshmipur. Students will inspect toilets, handwashing facilities, and drinking water points, and co-create improvement ideas with teachers and children."
P00047,Plan a joint fecal sludge management and drain de-silting campaign for a cluster of streets in Ganga Khand. The project must coordinate with tanker operators and sanitation workers while documenting safety measures.
P00048,"Support baseline and endline studies for a new Gram Sahayta initiative in Kaveri Tanda. Students will design questionnaires, manage mobile data collection, and assist in data cleaning and analysis."
P00049,"Strengthen nursery management and seedling production for village-level plantation drives in Bhavani Kheda. The team will support layout, watering routines, and survival tracking of seedlings."
P00050,Support an environmental engineering review of wastewater and solid waste flows in Nirmalgaon. Students will map key discharge points and identify opportunities for green infrastructure interventions.
P00051,"Support canal and field channel maintenance for a minor irrigation scheme serving Krishi Nagar. The project includes mapping silted reaches, collecting farmer feedback, and prioritizing segments for de-silting under MGNREGA."
P00052,Help design and locate small check dams and nala bunds in the upper catchment above Kaveri Tanda. Students will use simple field surveys and farmer inputs to suggest feasible structures.
P00053,"Pilot household water treatment and safe storage practices in one hamlet of Bhavani Kheda. The team will identify volunteer households, demonstrate low-cost treatment options, and track changes over one month."
P00054,"Support common land development and pasture management planning in Saraswati Nagar. Students will map existing uses, discuss needs with herders, and suggest soil and moisture conservation measures."
P00055,"Set up a lightweight project management tracker for village-level works in Rampur Gram Panchayat. The tool will track tasks, budgets, and timelines and generate quick status snapshots for officials."
P00056,"Support common land development and pasture management planning in Tulsi Gram. Students will map existing uses, discuss needs with herders, and suggest soil and moisture conservation measures."
P00057,"Assist the panchayat in prioritizing rural road maintenance and small culvert repairs around Saraswati Nagar. The project involves road condition surveys, simple traffic counts, and preparation of a ranked list for budget discussions."
P00058,"Support a small social audit-style review of one scheme in Mahuli Panchayat. The project includes household verification, public sharing of findings, and documenting agreed corrective actions."
P00059,"Support solar street lighting maintenance in lanes of Bhavani Kheda. Students will survey non-functional lights, categorize faults, and suggest a low-cost maintenance schedule for the panchayat."
P00060,"Support solar street lighting maintenance in lanes of Suryapur. Students will survey non-functional lights, categorize faults, and suggest a low-cost maintenance schedule for the panchayat."
P00061,"Plan a WASH in schools improvement drive in Devnagar. Students will inspect toilets, handwashing facilities, and drinking water points, and co-create improvement ideas with teachers and children."
P00062,"Plan a soil testing and fertility management campaign for farmers in Tulsi Gram. The project includes sampling fields, explaining test results, and suggesting fertilizer and organic matter management options."
P00063,"Assist the panchayat in prioritizing rural road maintenance and small culvert repairs around Shanti Nagar Panchayat. The project involves road condition surveys, simple traffic counts, and preparation of a ranked list for budget discussions."
P00064,"Support kitchen gardens and nutrition gardens for anganwadi-linked households in Kaveri Tanda. Students will help design small plots, choose crop mixes, and document yield and diet changes over one season."
P00065,"Support panchayat planning and budgeting in Saraswati Nagar by compiling data on WASH, roads, and livelihood assets. The project will help convert this into a simple presentation for the gram sabha."
P00066,"Help document public building maintenance needs for schools, anganwadis, and health sub-centres in Mahuli Panchayat. Students will inspect basics like roofs, toilets, and electrical safety and share a concise report."
P00067,"Support common land development and pasture management planning in Neelgaon. Students will map existing uses, discuss needs with herders, and suggest soil and moisture conservation measures."
P00068,"Assist in gram sabha facilitation in Nirmalgaon by designing agenda posters, helping record minutes, and tracking agreed action points with timelines."
P00069,"Help document public building maintenance needs for schools, anganwadis, and health sub-centres in Neelgaon. Students will inspect basics like roofs, toilets, and electrical safety and share a concise report."
P00070,"Assist in river restoration planning for a degraded stream reach near Chitrani Block. The project involves basic channel walk-throughs, mapping dumping spots, and suggesting nature-based solutions like vegetative buffers."
P00071,"Support panchayat planning and budgeting in Lakshmipur by compiling data on WASH, roads, and livelihood assets. The project will help convert this into a simple presentation for the gram sabha."
P00072,"Assist anganwadi strengthening in Lakshmipur by helping track child growth, supply gaps, and parental counseling sessions. Students will support simple malnutrition screening and referral documentation."
P00073,Develop a groundwater level monitoring plan for open wells and borewells in and around Hariyali Dham. The project will set up simple measurement protocols and a shared register with the panchayat.
P00074,"Assist in river restoration planning for a degraded stream reach near Shanti Nagar Panchayat. The project involves basic channel walk-throughs, mapping dumping spots, and suggesting nature-based solutions like vegetative buffers."
P00075,"Support canal and field channel maintenance for a minor irrigation scheme serving Saraswati Nagar. The project includes mapping silted reaches, collecting farmer feedback, and prioritizing segments for de-silting under MGNREGA."
P00076,"Design a solar pumping system proposal for drinking water or irrigation in Bhagirathi Pur. The team will estimate head, discharge needs, and solar array size, and compare costs with diesel pumping."
P00077,Support an environmental engineering review of wastewater and solid waste flows in Chitrani Block. Students will map key discharge points and identify opportunities for green infrastructure interventions.
P00078,"Support panchayat planning and budgeting in Shivapuram by compiling data on WASH, roads, and livelihood assets. The project will help convert this into a simple presentation for the gram sabha."
P00079,"Support panchayat planning and budgeting in Nirmalgaon by compiling data on WASH, roads, and livelihood assets. The project will help convert this into a simple presentation for the gram sabha."
P00080,"Support drinking water source protection for key borewells in Yamuna Kheda. The project includes mapping contamination risks, proposing simple fencing or platforms, and discussing actions with the water committee."
P00081,"Support drinking water source protection for key borewells in Shanti Nagar Panchayat. The project includes mapping contamination risks, proposing simple fencing or platforms, and discussing actions with the water committee."
P00082,"Pilot household water treatment and safe storage practices in one hamlet of Neelgaon. The team will identify volunteer households, demonstrate low-cost treatment options, and track changes over one month."
P00083,"Design a solar pumping system proposal for drinking water or irrigation in Kaveri Tanda. The team will estimate head, discharge needs, and solar array size, and compare costs with diesel pumping."
P00084,"Plan a WASH in schools improvement drive in Krishi Nagar. Students will inspect toilets, handwashing facilities, and drinking water points, and co-create improvement ideas with teachers and children."
P00085,"Set up a lightweight project management tracker for village-level works in Kaveri Tanda. The tool will track tasks, budgets, and timelines and generate quick status snapshots for officials."
P00086,"Help set up a grievance redressal register and simple tracking system in Saraswati Nagar for water, roads, and welfare entitlements. Students will train panchayat staff on updating status regularly."
P00087,Coordinate a tree plantation and survival monitoring initiative along village roads and common lands in Lakshmipur. The project must link plantations to watering and protection responsibilities.
P00088,"Plan a WASH in schools improvement drive in Krishi Nagar. Students will inspect toilets, handwashing facilities, and drinking water points, and co-create improvement ideas with teachers and children."
P00089,Organize a digital literacy and risk communication workshop for adolescents in Krishi Nagar on topics like online safety and disaster awareness. Feedback will be captured through short quizzes and group reflections.
P00090,"Support common land development and pasture management planning in Ganga Khand. Students will map existing uses, discuss needs with herders, and suggest soil and moisture conservation measures."
P00091,"Support a small social audit-style review of one scheme in Tulsi Gram. The project includes household verification, public sharing of findings, and documenting agreed corrective actions."
P00092,Help design and locate small check dams and nala bunds in the upper catchment above Rampur Gram Panchayat. Students will use simple field surveys and farmer inputs to suggest feasible structures.
P00093,"Support a small social audit-style review of one scheme in Hariyali Dham. The project includes household verification, public sharing of findings, and documenting agreed corrective actions."
P00094,"Assist the panchayat in prioritizing rural road maintenance and small culvert repairs around Suryapur. The project involves road condition surveys, simple traffic counts, and preparation of a ranked list for budget discussions."
P00095,"Assist in planning and measurement of MGNREGA works around Rampur Gram Panchayat such as bunds and plantations. The project includes simple layout sketches, basic measurement sheets, and worker feedback collection."
P00096,"Plan a WASH in schools improvement drive in Devnagar. Students will inspect toilets, handwashing facilities, and drinking water points, and co-create improvement ideas with teachers and children."
P00097,"Support common land development and pasture management planning in Rampur Gram Panchayat. Students will map existing uses, discuss needs with herders, and suggest soil and moisture conservation measures."
P00098,Develop a groundwater level monitoring plan for open wells and borewells in and around Bhagirathi Pur. The project will set up simple measurement protocols and a shared register with the panchayat.
P00099,"Assist in gram sabha facilitation in Neelgaon by designing agenda posters, helping record minutes, and tracking agreed action points with timelines."
P00100,"Assist in civil engineering checks for small structures like culverts, drains, and retaining walls in Yamuna Kheda. The project includes condition assessment and prioritization for repairs."
P00101,Organize a digital literacy and risk communication workshop for adolescents in Neelgaon on topics like online safety and disaster awareness. Feedback will be captured through short quizzes and group reflections.
P00102,"Support disaster preparedness and response planning in Saraswati Nagar. Students will help identify safe shelters, evacuation routes, and communication chains, and prepare a simple poster for display."
P00103,"Support baseline and endline studies for a new Gram Sahayta initiative in Hariyali Dham. Students will design questionnaires, manage mobile data collection, and assist in data cleaning and analysis."
P00104,"Help set up a grievance redressal register and simple tracking system in Kaveri Tanda for water, roads, and welfare entitlements. Students will train panchayat staff on updating status regularly."
P00105,"Plan a WASH in schools improvement drive in Bhavani Kheda. Students will inspect toilets, handwashing facilities, and drinking water points, and co-create improvement ideas with teachers and children."
P00106,"Support baseline and endline studies for a new Gram Sahayta initiative in Suryapur. Students will design questionnaires, manage mobile data collection, and assist in data cleaning and analysis."
P00107,"Design a low-cost water quality monitoring routine for schools in Bhavani Kheda. The team will schedule periodic tests, train teachers to use basic kits, and maintain a logbook that can be shared during gram sabha meetings."
P00108,"Develop a basic village information system for Saraswati Nagar integrating household survey data, WASH assets, and roads using GIS and simple dashboards. The focus is on clear, printable maps and summary tables."
P00109,"Facilitate an integrated pest management demonstration in a common crop grown around Nirmalgaon. The project emphasizes non-chemical practices and farmer field schools, with simple monitoring charts."
P00110,"Assist in planning and measurement of MGNREGA works around Saraswati Nagar such as bunds and plantations. The project includes simple layout sketches, basic measurement sheets, and worker feedback collection."
P00111,"Pilot household water treatment and safe storage practices in one hamlet of Mahuli Panchayat. The team will identify volunteer households, demonstrate low-cost treatment options, and track changes over one month."
P00112,"Design a solar pumping system proposal for drinking water or irrigation in Bhagirathi Pur. The team will estimate head, discharge needs, and solar array size, and compare costs with diesel pumping."
P00113,"Help set up a grievance redressal register and simple tracking system in Krishi Nagar for water, roads, and welfare entitlements. Students will train panchayat staff on updating status regularly."
P00114,"Help document public building maintenance needs for schools, anganwadis, and health sub-centres in Mahuli Panchayat. Students will inspect basics like roofs, toilets, and electrical safety and share a concise report."
P00115,"Design a solid waste segregation and composting system for households near the main street of Panchvati Kalan. The team will map households, propose collection points, and set up at least one small composting unit."
P00116,Plan a joint fecal sludge management and drain de-silting campaign for a cluster of streets in Rampur Gram Panchayat. The project must coordinate with tanker operators and sanitation workers while documenting safety measures.
P00117,"Facilitate an integrated pest management demonstration in a common crop grown around Shanti Nagar Panchayat. The project emphasizes non-chemical practices and farmer field schools, with simple monitoring charts."
P00118,"Support a small social audit-style review of one scheme in Lakshmipur. The project includes household verification, public sharing of findings, and documenting agreed corrective actions."
P00119,"Support public health outreach on maternal and child health topics in Krishi Nagar. The project involves home visits with ASHAs, IEC material preparation, and simple data summaries."
P00120,"Develop a basic village information system for Bhagirathi Pur integrating household survey data, WASH assets, and roads using GIS and simple dashboards. The focus is on clear, printable maps and summary tables."
P00121,Coordinate a tree plantation and survival monitoring initiative along village roads and common lands in Krishi Nagar. The project must link plantations to watering and protection responsibilities.
P00122,"Set up a lightweight project management tracker for village-level works in Lakshmipur. The tool will track tasks, budgets, and timelines and generate quick status snapshots for officials."
P00123,"Support a small social audit-style review of one scheme in Yamuna Kheda. The project includes household verification, public sharing of findings, and documenting agreed corrective actions."
P00124,"Support fisheries pond management for small ponds near Bhavani Kheda. The project includes basic water quality observations, feed practices, and simple record-keeping templates for pond owners."
P00125,"Strengthen nursery management and seedling production for village-level plantation drives in Bhavani Kheda. The team will support layout, watering routines, and survival tracking of seedlings."
P00126,"Support self-help group strengthening in Krishi Nagar by mapping existing groups, their savings patterns, and linkage to village-level works. Students will facilitate one joint learning session with SHG leaders."
P00127,"Support panchayat planning and budgeting in Panchvati Kalan by compiling data on WASH, roads, and livelihood assets. The project will help convert this into a simple presentation for the gram sabha."
P00128,"Assist in planning and measurement of MGNREGA works around Mahuli Panchayat such as bunds and plantations. The project includes simple layout sketches, basic measurement sheets, and worker feedback collection."
P00129,"Design a solid waste segregation and composting system for households near the main street of Devnagar. The team will map households, propose collection points, and set up at least one small composting unit."
P00130,Organize a digital literacy and risk communication workshop for adolescents in Lakshmipur on topics like online safety and disaster awareness. Feedback will be captured through short quizzes and group reflections.
P00131,Plan a village-wide drinking water quality assessment in Suryapur. The project will test handpumps and standposts for basic parameters and record sanitary risks around each source. Students must design simple feedback cards for households and share results with the panchayat.
P00132,"Design a solar pumping system proposal for drinking water or irrigation in Devnagar. The team will estimate head, discharge needs, and solar array size, and compare costs with diesel pumping."
P00133,Support an environmental engineering review of wastewater and solid waste flows in Bhavani Kheda. Students will map key discharge points and identify opportunities for green infrastructure interventions.
P00134,"Support kitchen gardens and nutrition gardens for anganwadi-linked households in Shivapuram. Students will help design small plots, choose crop mixes, and document yield and diet changes over one season."
P00135,"Support public health outreach on maternal and child health topics in Bhagirathi Pur. The project involves home visits with ASHAs, IEC material preparation, and simple data summaries."
P00136,"Support solar street lighting maintenance in lanes of Neelgaon. Students will survey non-functional lights, categorize faults, and suggest a low-cost maintenance schedule for the panchayat."
P00137,"Assist in a climate risk assessment exercise for Nirmalgaon, focusing on droughts, floods, and heatwaves. The project will combine community timelines with simple climate data visuals."
P00138,"Design a low-cost water quality monitoring routine for schools in Rampur Gram Panchayat. The team will schedule periodic tests, train teachers to use basic kits, and maintain a logbook that can be shared during gram sabha meetings."
P00139,"Support common land development and pasture management planning in Kaveri Tanda. Students will map existing uses, discuss needs with herders, and suggest soil and moisture conservation measures."
P00140,"Assist in a climate risk assessment exercise for Shanti Nagar Panchayat, focusing on droughts, floods, and heatwaves. The project will combine community timelines with simple climate data visuals."
P00141,Help design and locate small check dams and nala bunds in the upper catchment above Hariyali Dham. Students will use simple field surveys and farmer inputs to suggest feasible structures.
P00142,"Design a solid waste segregation and composting system for households near the main street of Yamuna Kheda. The team will map households, propose collection points, and set up at least one small composting unit."
P00143,Plan a village-wide drinking water quality assessment in Suryapur. The project will test handpumps and standposts for basic parameters and record sanitary risks around each source. Students must design simple feedback cards for households and share results with the panchayat.
P00144,Plan a village-wide drinking water quality assessment in Devnagar. The project will test handpumps and standposts for basic parameters and record sanitary risks around each source. Students must design simple feedback cards for households and share results with the panchayat.
P00145,Organize a digital literacy and risk communication workshop for adolescents in Ganga Khand on topics like online safety and disaster awareness. Feedback will be captured through short quizzes and group reflections.
P00146,"Plan a WASH in schools improvement drive in Shanti Nagar Panchayat. Students will inspect toilets, handwashing facilities, and drinking water points, and co-create improvement ideas with teachers and children."
P00147,"Design a solid waste segregation and composting system for households near the main street of Devnagar. The team will map households, propose collection points, and set up at least one small composting unit."
P00148,"Support fisheries pond management for small ponds near Hariyali Dham. The project includes basic water quality observations, feed practices, and simple record-keeping templates for pond owners."
P00149,"Set up a lightweight project management tracker for village-level works in Bhavani Kheda. The tool will track tasks, budgets, and timelines and generate quick status snapshots for officials."
P00150,"Support kitchen gardens and nutrition gardens for anganwadi-linked households in Mahuli Panchayat. Students will help design small plots, choose crop mixes, and document yield and diet changes over one season."
P00151,"Support solar street lighting maintenance in lanes of Neelgaon. Students will survey non-functional lights, categorize faults, and suggest a low-cost maintenance schedule for the panchayat."
P00152,"Design a low-cost water quality monitoring routine for schools in Shanti Nagar Panchayat. The team will schedule periodic tests, train teachers to use basic kits, and maintain a logbook that can be shared during gram sabha meetings."
P00153,"Support canal and field channel maintenance for a minor irrigation scheme serving Bhagirathi Pur. The project includes mapping silted reaches, collecting farmer feedback, and prioritizing segments for de-silting under MGNREGA."
P00154,"Support kitchen gardens and nutrition gardens for anganwadi-linked households in Suryapur. Students will help design small plots, choose crop mixes, and document yield and diet changes over one season."
P00155,"Support public health outreach on maternal and child health topics in Rampur Gram Panchayat. The project involves home visits with ASHAs, IEC material preparation, and simple data summaries."
P00156,"Plan a WASH in schools improvement drive in Krishi Nagar. Students will inspect toilets, handwashing facilities, and drinking water points, and co-create improvement ideas with teachers and children."
P00157,"Support panchayat planning and budgeting in Lakshmipur by compiling data on WASH, roads, and livelihood assets. The project will help convert this into a simple presentation for the gram sabha."
P00158,"Facilitate an integrated pest management demonstration in a common crop grown around Rampur Gram Panchayat. The project emphasizes non-chemical practices and farmer field schools, with simple monitoring charts."
P00159,"Develop a basic village information system for Neelgaon integrating household survey data, WASH assets, and roads using GIS and simple dashboards. The focus is on clear, printable maps and summary tables."
P00160,"Set up a lightweight project management tracker for village-level works in Suryapur. The tool will track tasks, budgets, and timelines and generate quick status snapshots for officials."
P00161,"Assist in civil engineering checks for small structures like culverts, drains, and retaining walls in Yamuna Kheda. The project includes condition assessment and prioritization for repairs."
P00162,Plan a village-wide drinking water quality assessment in Devnagar. The project will test handpumps and standposts for basic parameters and record sanitary risks around each source. Students must design simple feedback cards for households and share results with the panchayat.
P00163,"Strengthen nursery management and seedling production for village-level plantation drives in Chitrani Block. The team will support layout, watering routines, and survival tracking of seedlings."
P00164,"Support a small social audit-style review of one scheme in Rampur Gram Panchayat. The project includes household verification, public sharing of findings, and documenting agreed corrective actions."
P00165,"Assist in a climate risk assessment exercise for Saraswati Nagar, focusing on droughts, floods, and heatwaves. The project will combine community timelines with simple climate data visuals."
P00166,"Assist in planning and measurement of MGNREGA works around Ganga Khand such as bunds and plantations. The project includes simple layout sketches, basic measurement sheets, and worker feedback collection."
P00167,Support an environmental engineering review of wastewater and solid waste flows in Kaveri Tanda. Students will map key discharge points and identify opportunities for green infrastructure interventions.
P00168,"Assist in gram sabha facilitation in Hariyali Dham by designing agenda posters, helping record minutes, and tracking agreed action points with timelines."
P00169,"Support self-help group strengthening in Suryapur by mapping existing groups, their savings patterns, and linkage to village-level works. Students will facilitate one joint learning session with SHG leaders."
P00170,"Support canal and field channel maintenance for a minor irrigation scheme serving Mahuli Panchayat. The project includes mapping silted reaches, collecting farmer feedback, and prioritizing segments for de-silting under MGNREGA."
P00171,"Support baseline and endline studies for a new Gram Sahayta initiative in Suryapur. Students will design questionnaires, manage mobile data collection, and assist in data cleaning and analysis."
P00172,"Pilot household water treatment and safe storage practices in one hamlet of Mahuli Panchayat. The team will identify volunteer households, demonstrate low-cost treatment options, and track changes over one month."
P00173,"Design a solar pumping system proposal for drinking water or irrigation in Tulsi Gram. The team will estimate head, discharge needs, and solar array size, and compare costs with diesel pumping."
P00174,"Pilot household water treatment and safe storage practices in one hamlet of Mahuli Panchayat. The team will identify volunteer households, demonstrate low-cost treatment options, and track changes over one month."
P00175,"Support a small social audit-style review of one scheme in Shanti Nagar Panchayat. The project includes household verification, public sharing of findings, and documenting agreed corrective actions."
P00176,"Support public health outreach on maternal and child health topics in Yamuna Kheda. The project involves home visits with ASHAs, IEC material preparation, and simple data summaries."
P00177,"Facilitate an integrated pest management demonstration in a common crop grown around Krishi Nagar. The project emphasizes non-chemical practices and farmer field schools, with simple monitoring charts."
P00178,"Assist anganwadi strengthening in Suryapur by helping track child growth, supply gaps, and parental counseling sessions. Students will support simple malnutrition screening and referral documentation."
P00179,"Design a low-cost water quality monitoring routine for schools in Shanti Nagar Panchayat. The team will schedule periodic tests, train teachers to use basic kits, and maintain a logbook that can be shared during gram sabha meetings."
P00180,"Pilot household water treatment and safe storage practices in one hamlet of Suryapur. The team will identify volunteer households, demonstrate low-cost treatment options, and track changes over one month."
P00181,"Assist in river restoration planning for a degraded stream reach near Neelgaon. The project involves basic channel walk-throughs, mapping dumping spots, and suggesting nature-based solutions like vegetative buffers."
P00182,"Set up a lightweight project management tracker for village-level works in Neelgaon. The tool will track tasks, budgets, and timelines and generate quick status snapshots for officials."
P00183,"Help document public building maintenance needs for schools, anganwadis, and health sub-centres in Mahuli Panchayat. Students will inspect basics like roofs, toilets, and electrical safety and share a concise report."
P00184,"Support solar street lighting maintenance in lanes of Hariyali Dham. Students will survey non-functional lights, categorize faults, and suggest a low-cost maintenance schedule for the panchayat."
P00185,"Pilot household water treatment and safe storage practices in one hamlet of Tulsi Gram. The team will identify volunteer households, demonstrate low-cost treatment options, and track changes over one month."
P00186,"Help document public building maintenance needs for schools, anganwadis, and health sub-centres in Kaveri Tanda. Students will inspect basics like roofs, toilets, and electrical safety and share a concise report."
P00187,"Set up a lightweight project management tracker for village-level works in Devnagar. The tool will track tasks, budgets, and timelines and generate quick status snapshots for officials."
P00188,"Support fisheries pond management for small ponds near Devnagar. The project includes basic water quality observations, feed practices, and simple record-keeping templates for pond owners."
P00189,"Support low-cost housing construction quality monitoring for PMAY houses in Kaveri Tanda. The project includes checking plinth levels, basic reinforcement details, and usable toilet provision."
P00190,"Design a solar pumping system proposal for drinking water or irrigation in Krishi Nagar. The team will estimate head, discharge needs, and solar array size, and compare costs with diesel pumping."
P00191,"Help set up a grievance redressal register and simple tracking system in Yamuna Kheda for water, roads, and welfare entitlements. Students will train panchayat staff on updating status regularly."
P00192,"Assist in river restoration planning for a degraded stream reach near Hariyali Dham. The project involves basic channel walk-throughs, mapping dumping spots, and suggesting nature-based solutions like vegetative buffers."
P00193,"Pilot household water treatment and safe storage practices in one hamlet of Kaveri Tanda. The team will identify volunteer households, demonstrate low-cost treatment options, and track changes over one month."
P00194,"Set up a lightweight project management tracker for village-level works in Nirmalgaon. The tool will track tasks, budgets, and timelines and generate quick status snapshots for officials."
P00195,"Develop a basic village information system for Ganga Khand integrating household survey data, WASH assets, and roads using GIS and simple dashboards. The focus is on clear, printable maps and summary tables."
P00196,Plan a joint fecal sludge management and drain de-silting campaign for a cluster of streets in Lakshmipur. The project must coordinate with tanker operators and sanitation workers while documenting safety measures.
P00197,"Support a small social audit-style review of one scheme in Mahuli Panchayat. The project includes household verification, public sharing of findings, and documenting agreed corrective actions."
P00198,Support an environmental engineering review of wastewater and solid waste flows in Panchvati Kalan. Students will map key discharge points and identify opportunities for green infrastructure interventions.
P00199,Develop a groundwater level monitoring plan for open wells and borewells in and around Saraswati Nagar. The project will set up simple measurement protocols and a shared register with the panchayat.
P00200,"Support fisheries pond management for small ponds near Panchvati Kalan. The project includes basic water quality observations, feed practices, and simple record-keeping templates for pond owners."
