proposal_id,text
P0033,Implement smart fill-level monitoring on dustbins across the university campus near Lalbagh. Sensors should estimate bin fullness and send data to a basic dashboard to optimize collection routes. The design must account for low-cost maintenance and robust installation.
P0034,"Prototype a solar-powered pump system to lift water from a small farm pond near Industrial Layout. Students must select a suitable pump, estimate daily water yield, and match it to crop water requirements. A laminated one-page maintenance guide for farmers should be produced."
P0035,"Carry out microbiological testing of stored household drinking water in Riverfront Colony, comparing it with source water quality. The project should follow strict sampling hygiene and laboratory protocols. Recommendations must focus on low-cost household behavior changes."
P0036,"Prepare a flood susceptibility map for Old Town using open DEM and land-use data. The team will delineate low-lying areas, indicate major flow paths, and mark critical facilities like schools and health centres. Results should be summarized in a two-page note for disaster management staff."
P0037,"Design a low-cost greywater reuse system for a hostel block in Yamuna Enclave. The project must estimate flows from bathrooms and wash areas, choose simple treatment units, and propose safe reuse for gardening. Construction cost and maintenance effort should be clearly stated."
P0038,Develop a small web-based tool to prioritize drainage improvements in Shivaji Nagar using citizen complaints and flood history. The tool must score locations based on multiple factors and export a ranked list. It should be simple enough for ward engineers to operate without training.
P0039,"Design a rooftop solar micro-project for a government school close to Ward 8. The team should estimate typical classroom loads, size the panel array, and prepare a basic financial payback analysis. A concise safety and maintenance checklist for school staff must also be included."
P0040,"Design a low-cost water quality survey of handpumps in Riverfront Colony. Students will create a sampling schedule, test for turbidity, pH, and residual chlorine, and log data in a structured spreadsheet. The goal is to flag unsafe sources and prepare a one-page brief for the local health worker."
P0041,"Conduct a household survey on plastic waste segregation behaviors in Yamuna Enclave. The project will design a short questionnaire, digitize responses in a mobile form, and present results to the ward committee. It should also suggest two or three locally feasible behavior-change messages."
P0042,"Compare lifecycle costs of diesel generators vs solar-battery systems for rural clinics around Yamuna Enclave. The project involves collecting basic load data, modeling costs over ten years, and running sensitivity scenarios. Results must be shared in a concise briefing with charts."
P0043,"Compare lifecycle costs of diesel generators vs solar-battery systems for rural clinics around Old Town. The project involves collecting basic load data, modeling costs over ten years, and running sensitivity scenarios. Results must be shared in a concise briefing with charts."
P0044,"Design a low-cost greywater reuse system for a hostel block in Lakeview Colony. The project must estimate flows from bathrooms and wash areas, choose simple treatment units, and propose safe reuse for gardening. Construction cost and maintenance effort should be clearly stated."
P0045,"Plan a coordinated riverbank cleanup for a 3.9 km stretch near Ward 8. The project should map dumping hotspots, schedule volunteer shifts, and propose simple silt traps to stop plastics from re-entering the stream. It must also include a brief safety protocol for working close to fast-flowing water."
P0046,"Estimate rooftop rainwater harvesting potential for a group of houses in Hostel Zone B using GIS. The team should digitize roof areas, combine them with rainfall data, and suggest storage tank sizes. A one-page recommendation sheet for each house is required."
P0047,Implement smart fill-level monitoring on dustbins across the university campus near Yamuna Enclave. Sensors should estimate bin fullness and send data to a basic dashboard to optimize collection routes. The design must account for low-cost maintenance and robust installation.
P0048,"Conduct a household survey on plastic waste segregation behaviors in University Campus. The project will design a short questionnaire, digitize responses in a mobile form, and present results to the ward committee. It should also suggest two or three locally feasible behavior-change messages."
P0049,"Design a low-cost greywater reuse system for a hostel block in Hostel Zone B. The project must estimate flows from bathrooms and wash areas, choose simple treatment units, and propose safe reuse for gardening. Construction cost and maintenance effort should be clearly stated."
P0050,"Conduct a household survey on plastic waste segregation behaviors in Ward 8. The project will design a short questionnaire, digitize responses in a mobile form, and present results to the ward committee. It should also suggest two or three locally feasible behavior-change messages."
P0051,"Plan and deliver a community awareness campaign on safe water storage and handling in Old Town. The team will create posters, run one or two interactive sessions, and measure pre- and post-session knowledge. Findings should be documented with photos and short quotes from participants."
P0052,"Compare lifecycle costs of diesel generators vs solar-battery systems for rural clinics around Ganga Vihar. The project involves collecting basic load data, modeling costs over ten years, and running sensitivity scenarios. Results must be shared in a concise briefing with charts."
P0053,"Conduct a household survey on plastic waste segregation behaviors in Hostel Zone B. The project will design a short questionnaire, digitize responses in a mobile form, and present results to the ward committee. It should also suggest two or three locally feasible behavior-change messages."
P0054,"Create an online training module for sewer maintenance teams operating near Station Road Area. The module should translate confined space entry rules into short checklists, visuals, and self-test questions. Feedback from at least three workers must be recorded and summarized."
P0055,Implement smart fill-level monitoring on dustbins across the university campus near Ward 8. Sensors should estimate bin fullness and send data to a basic dashboard to optimize collection routes. The design must account for low-cost maintenance and robust installation.
P0056,"Prepare a policy brief comparing local construction debris rules in Lakeview Colony with best practices from other cities. The project will review bylaws, interview at least two stakeholders, and highlight specific clauses that hinder or support better waste management. Recommendations must be realistic for a medium-sized municipality."
P0057,"Plan and deliver a community awareness campaign on safe water storage and handling in Shivaji Nagar. The team will create posters, run one or two interactive sessions, and measure pre- and post-session knowledge. Findings should be documented with photos and short quotes from participants."
P0058,Develop a small web-based tool to prioritize drainage improvements in Ward 8 using citizen complaints and flood history. The tool must score locations based on multiple factors and export a ranked list. It should be simple enough for ward engineers to operate without training.
P0059,"Design a combined air quality and noise monitoring node for a busy junction in Hostel Zone B. The system will log PM levels and sound pressure to the cloud, along with timestamps. Simple visualizations and a short note on health implications are expected."
P0060,"Estimate rooftop rainwater harvesting potential for a group of houses in Riverfront Colony using GIS. The team should digitize roof areas, combine them with rainfall data, and suggest storage tank sizes. A one-page recommendation sheet for each house is required."
P0061,"Design a combined air quality and noise monitoring node for a busy junction in Riverfront Colony. The system will log PM levels and sound pressure to the cloud, along with timestamps. Simple visualizations and a short note on health implications are expected."
P0062,"Design a low-cost greywater reuse system for a hostel block in Station Road Area. The project must estimate flows from bathrooms and wash areas, choose simple treatment units, and propose safe reuse for gardening. Construction cost and maintenance effort should be clearly stated."
P0063,Develop a simple QGIS workflow to register drinking water sources and attach lab test results in Transport Nagar. The tool should let users filter sources by parameter exceedance and export basic risk maps. The workflow must be documented step by step for non-expert staff.
P0064,"Estimate rooftop rainwater harvesting potential for a group of houses in University Campus using GIS. The team should digitize roof areas, combine them with rainfall data, and suggest storage tank sizes. A one-page recommendation sheet for each house is required."
P0065,"Build a mobile-friendly grievance app for reporting clogged drains and overflowing bins in Yamuna Enclave. The app should capture geo-tagged photos, categorize severity, and generate simple summary reports for municipal engineers. Offline data capture and later sync are desirable features."
P0066,"Prepare a policy brief comparing local construction debris rules in Old Town with best practices from other cities. The project will review bylaws, interview at least two stakeholders, and highlight specific clauses that hinder or support better waste management. Recommendations must be realistic for a medium-sized municipality."
P0067,"Carry out microbiological testing of stored household drinking water in Shivaji Nagar, comparing it with source water quality. The project should follow strict sampling hygiene and laboratory protocols. Recommendations must focus on low-cost household behavior changes."
P0068,"Prototype an IoT-based flood alert node for a low bridge used by school children in Station Road Area. The system should use an ultrasonic or pressure sensor, run on battery or solar, and send SMS alerts when water crosses a warning threshold. The design must consider vandalism risk and intermittent network coverage."
P0069,"Estimate rooftop rainwater harvesting potential for a group of houses in Shivaji Nagar using GIS. The team should digitize roof areas, combine them with rainfall data, and suggest storage tank sizes. A one-page recommendation sheet for each house is required."
P0070,"Plan a coordinated riverbank cleanup for a 1.7 km stretch near Industrial Layout. The project should map dumping hotspots, schedule volunteer shifts, and propose simple silt traps to stop plastics from re-entering the stream. It must also include a brief safety protocol for working close to fast-flowing water."
P0071,"Design a low-cost water quality survey of handpumps in Transport Nagar. Students will create a sampling schedule, test for turbidity, pH, and residual chlorine, and log data in a structured spreadsheet. The goal is to flag unsafe sources and prepare a one-page brief for the local health worker."
P0072,"Design a low-cost water quality survey of handpumps in Ward 8. Students will create a sampling schedule, test for turbidity, pH, and residual chlorine, and log data in a structured spreadsheet. The goal is to flag unsafe sources and prepare a one-page brief for the local health worker."
P0073,"Create an online training module for sewer maintenance teams operating near Industrial Layout. The module should translate confined space entry rules into short checklists, visuals, and self-test questions. Feedback from at least three workers must be recorded and summarized."
P0074,"Design a combined air quality and noise monitoring node for a busy junction in Riverfront Colony. The system will log PM levels and sound pressure to the cloud, along with timestamps. Simple visualizations and a short note on health implications are expected."
P0075,Develop a small web-based tool to prioritize drainage improvements in Shivaji Nagar using citizen complaints and flood history. The tool must score locations based on multiple factors and export a ranked list. It should be simple enough for ward engineers to operate without training.
P0076,"Design a combined air quality and noise monitoring node for a busy junction in Shivaji Nagar. The system will log PM levels and sound pressure to the cloud, along with timestamps. Simple visualizations and a short note on health implications are expected."
P0077,"Create a GIS map of informal waste dumping sites around Yamuna Enclave. The project must combine GPS points, open satellite imagery, and simple spatial analysis to identify clusters of illegal dumping. Outputs should include a priority list of locations for municipal action."
P0078,"Prepare a policy brief comparing local construction debris rules in Lalbagh with best practices from other cities. The project will review bylaws, interview at least two stakeholders, and highlight specific clauses that hinder or support better waste management. Recommendations must be realistic for a medium-sized municipality."
P0079,"Design a low-cost water quality survey of handpumps in Industrial Layout. Students will create a sampling schedule, test for turbidity, pH, and residual chlorine, and log data in a structured spreadsheet. The goal is to flag unsafe sources and prepare a one-page brief for the local health worker."
P0080,"Create a GIS map of informal waste dumping sites around University Campus. The project must combine GPS points, open satellite imagery, and simple spatial analysis to identify clusters of illegal dumping. Outputs should include a priority list of locations for municipal action."
P0081,Implement smart fill-level monitoring on dustbins across the university campus near Ward 8. Sensors should estimate bin fullness and send data to a basic dashboard to optimize collection routes. The design must account for low-cost maintenance and robust installation.
P0082,"Prepare a flood susceptibility map for Old Town using open DEM and land-use data. The team will delineate low-lying areas, indicate major flow paths, and mark critical facilities like schools and health centres. Results should be summarized in a two-page note for disaster management staff."
P0083,"Carry out microbiological testing of stored household drinking water in Riverfront Colony, comparing it with source water quality. The project should follow strict sampling hygiene and laboratory protocols. Recommendations must focus on low-cost household behavior changes."
P0084,"Design a low-cost greywater reuse system for a hostel block in Lakeview Colony. The project must estimate flows from bathrooms and wash areas, choose simple treatment units, and propose safe reuse for gardening. Construction cost and maintenance effort should be clearly stated."
P0085,"Prototype an IoT-based flood alert node for a low bridge used by school children in Lakeview Colony. The system should use an ultrasonic or pressure sensor, run on battery or solar, and send SMS alerts when water crosses a warning threshold. The design must consider vandalism risk and intermittent network coverage."
P0086,"Estimate rooftop rainwater harvesting potential for a group of houses in Industrial Layout using GIS. The team should digitize roof areas, combine them with rainfall data, and suggest storage tank sizes. A one-page recommendation sheet for each house is required."
P0087,"Estimate rooftop rainwater harvesting potential for a group of houses in Ward 8 using GIS. The team should digitize roof areas, combine them with rainfall data, and suggest storage tank sizes. A one-page recommendation sheet for each house is required."
P0088,"Prepare a flood susceptibility map for Lalbagh using open DEM and land-use data. The team will delineate low-lying areas, indicate major flow paths, and mark critical facilities like schools and health centres. Results should be summarized in a two-page note for disaster management staff."
P0089,"Design a combined air quality and noise monitoring node for a busy junction in Yamuna Enclave. The system will log PM levels and sound pressure to the cloud, along with timestamps. Simple visualizations and a short note on health implications are expected."
P0090,"Design a low-cost water quality survey of handpumps in Ward 12. Students will create a sampling schedule, test for turbidity, pH, and residual chlorine, and log data in a structured spreadsheet. The goal is to flag unsafe sources and prepare a one-page brief for the local health worker."
P0091,"Prototype a solar-powered pump system to lift water from a small farm pond near Hostel Zone B. Students must select a suitable pump, estimate daily water yield, and match it to crop water requirements. A laminated one-page maintenance guide for farmers should be produced."
P0092,"Carry out microbiological testing of stored household drinking water in University Campus, comparing it with source water quality. The project should follow strict sampling hygiene and laboratory protocols. Recommendations must focus on low-cost household behavior changes."
P0093,"Estimate rooftop rainwater harvesting potential for a group of houses in Lalbagh using GIS. The team should digitize roof areas, combine them with rainfall data, and suggest storage tank sizes. A one-page recommendation sheet for each house is required."
P0094,"Design a rooftop solar micro-project for a government school close to Shivaji Nagar. The team should estimate typical classroom loads, size the panel array, and prepare a basic financial payback analysis. A concise safety and maintenance checklist for school staff must also be included."
P0095,"Design a low-cost water quality survey of handpumps in Old Town. Students will create a sampling schedule, test for turbidity, pH, and residual chlorine, and log data in a structured spreadsheet. The goal is to flag unsafe sources and prepare a one-page brief for the local health worker."
P0096,"Design a low-cost water quality survey of handpumps in Ward 12. Students will create a sampling schedule, test for turbidity, pH, and residual chlorine, and log data in a structured spreadsheet. The goal is to flag unsafe sources and prepare a one-page brief for the local health worker."
P0097,"Design a low-cost water quality survey of handpumps in Old Town. Students will create a sampling schedule, test for turbidity, pH, and residual chlorine, and log data in a structured spreadsheet. The goal is to flag unsafe sources and prepare a one-page brief for the local health worker."
P0098,"Create an online training module for sewer maintenance teams operating near Old Town. The module should translate confined space entry rules into short checklists, visuals, and self-test questions. Feedback from at least three workers must be recorded and summarized."
P0099,"Prototype an IoT-based flood alert node for a low bridge used by school children in Ward 8. The system should use an ultrasonic or pressure sensor, run on battery or solar, and send SMS alerts when water crosses a warning threshold. The design must consider vandalism risk and intermittent network coverage."
P0100,"Compare lifecycle costs of diesel generators vs solar-battery systems for rural clinics around Lakeview Colony. The project involves collecting basic load data, modeling costs over ten years, and running sensitivity scenarios. Results must be shared in a concise briefing with charts."
P0101,"Prepare a flood susceptibility map for Transport Nagar using open DEM and land-use data. The team will delineate low-lying areas, indicate major flow paths, and mark critical facilities like schools and health centres. Results should be summarized in a two-page note for disaster management staff."
P0102,Develop a small web-based tool to prioritize drainage improvements in Station Road Area using citizen complaints and flood history. The tool must score locations based on multiple factors and export a ranked list. It should be simple enough for ward engineers to operate without training.
P0103,"Design a low-cost water quality survey of handpumps in Yamuna Enclave. Students will create a sampling schedule, test for turbidity, pH, and residual chlorine, and log data in a structured spreadsheet. The goal is to flag unsafe sources and prepare a one-page brief for the local health worker."
P0104,Develop a small web-based tool to prioritize drainage improvements in Ganga Vihar using citizen complaints and flood history. The tool must score locations based on multiple factors and export a ranked list. It should be simple enough for ward engineers to operate without training.
P0105,"Design a low-cost greywater reuse system for a hostel block in University Campus. The project must estimate flows from bathrooms and wash areas, choose simple treatment units, and propose safe reuse for gardening. Construction cost and maintenance effort should be clearly stated."
P0106,Implement smart fill-level monitoring on dustbins across the university campus near Yamuna Enclave. Sensors should estimate bin fullness and send data to a basic dashboard to optimize collection routes. The design must account for low-cost maintenance and robust installation.
P0107,"Design a rooftop solar micro-project for a government school close to Green Park Extension. The team should estimate typical classroom loads, size the panel array, and prepare a basic financial payback analysis. A concise safety and maintenance checklist for school staff must also be included."
P0108,"Carry out microbiological testing of stored household drinking water in Hostel Zone B, comparing it with source water quality. The project should follow strict sampling hygiene and laboratory protocols. Recommendations must focus on low-cost household behavior changes."
P0109,"Prototype an IoT-based flood alert node for a low bridge used by school children in Station Road Area. The system should use an ultrasonic or pressure sensor, run on battery or solar, and send SMS alerts when water crosses a warning threshold. The design must consider vandalism risk and intermittent network coverage."
P0110,Develop a small web-based tool to prioritize drainage improvements in Ward 8 using citizen complaints and flood history. The tool must score locations based on multiple factors and export a ranked list. It should be simple enough for ward engineers to operate without training.
P0111,"Estimate rooftop rainwater harvesting potential for a group of houses in Green Park Extension using GIS. The team should digitize roof areas, combine them with rainfall data, and suggest storage tank sizes. A one-page recommendation sheet for each house is required."
P0112,"Design a rooftop solar micro-project for a government school close to Transport Nagar. The team should estimate typical classroom loads, size the panel array, and prepare a basic financial payback analysis. A concise safety and maintenance checklist for school staff must also be included."
P0113,"Prototype an IoT-based flood alert node for a low bridge used by school children in Ganga Vihar. The system should use an ultrasonic or pressure sensor, run on battery or solar, and send SMS alerts when water crosses a warning threshold. The design must consider vandalism risk and intermittent network coverage."
P0114,"Plan and deliver a community awareness campaign on safe water storage and handling in Lakeview Colony. The team will create posters, run one or two interactive sessions, and measure pre- and post-session knowledge. Findings should be documented with photos and short quotes from participants."
P0115,"Estimate rooftop rainwater harvesting potential for a group of houses in Station Road Area using GIS. The team should digitize roof areas, combine them with rainfall data, and suggest storage tank sizes. A one-page recommendation sheet for each house is required."
P0116,"Create an online training module for sewer maintenance teams operating near Lakeview Colony. The module should translate confined space entry rules into short checklists, visuals, and self-test questions. Feedback from at least three workers must be recorded and summarized."
P0117,"Estimate rooftop rainwater harvesting potential for a group of houses in Industrial Layout using GIS. The team should digitize roof areas, combine them with rainfall data, and suggest storage tank sizes. A one-page recommendation sheet for each house is required."
P0118,"Create a GIS map of informal waste dumping sites around Riverfront Colony. The project must combine GPS points, open satellite imagery, and simple spatial analysis to identify clusters of illegal dumping. Outputs should include a priority list of locations for municipal action."
P0119,"Design a low-cost greywater reuse system for a hostel block in Ward 8. The project must estimate flows from bathrooms and wash areas, choose simple treatment units, and propose safe reuse for gardening. Construction cost and maintenance effort should be clearly stated."
P0120,"Estimate rooftop rainwater harvesting potential for a group of houses in Green Park Extension using GIS. The team should digitize roof areas, combine them with rainfall data, and suggest storage tank sizes. A one-page recommendation sheet for each house is required."
P0121,"Compare lifecycle costs of diesel generators vs solar-battery systems for rural clinics around Ganga Vihar. The project involves collecting basic load data, modeling costs over ten years, and running sensitivity scenarios. Results must be shared in a concise briefing with charts."
P0122,"Build a mobile-friendly grievance app for reporting clogged drains and overflowing bins in Lakeview Colony. The app should capture geo-tagged photos, categorize severity, and generate simple summary reports for municipal engineers. Offline data capture and later sync are desirable features."
P0123,"Design a low-cost greywater reuse system for a hostel block in Green Park Extension. The project must estimate flows from bathrooms and wash areas, choose simple treatment units, and propose safe reuse for gardening. Construction cost and maintenance effort should be clearly stated."
P0124,"Design a low-cost water quality survey of handpumps in Yamuna Enclave. Students will create a sampling schedule, test for turbidity, pH, and residual chlorine, and log data in a structured spreadsheet. The goal is to flag unsafe sources and prepare a one-page brief for the local health worker."
P0125,"Design a low-cost greywater reuse system for a hostel block in Ganga Vihar. The project must estimate flows from bathrooms and wash areas, choose simple treatment units, and propose safe reuse for gardening. Construction cost and maintenance effort should be clearly stated."
P0126,"Design a rooftop solar micro-project for a government school close to Green Park Extension. The team should estimate typical classroom loads, size the panel array, and prepare a basic financial payback analysis. A concise safety and maintenance checklist for school staff must also be included."
P0127,"Conduct a household survey on plastic waste segregation behaviors in Old Town. The project will design a short questionnaire, digitize responses in a mobile form, and present results to the ward committee. It should also suggest two or three locally feasible behavior-change messages."
P0128,Develop a simple QGIS workflow to register drinking water sources and attach lab test results in Ward 8. The tool should let users filter sources by parameter exceedance and export basic risk maps. The workflow must be documented step by step for non-expert staff.
P0129,"Prototype an IoT-based flood alert node for a low bridge used by school children in University Campus. The system should use an ultrasonic or pressure sensor, run on battery or solar, and send SMS alerts when water crosses a warning threshold. The design must consider vandalism risk and intermittent network coverage."
P0130,"Design a rooftop solar micro-project for a government school close to Lakeview Colony. The team should estimate typical classroom loads, size the panel array, and prepare a basic financial payback analysis. A concise safety and maintenance checklist for school staff must also be included."
P0131,"Prepare a policy brief comparing local construction debris rules in Riverfront Colony with best practices from other cities. The project will review bylaws, interview at least two stakeholders, and highlight specific clauses that hinder or support better waste management. Recommendations must be realistic for a medium-sized municipality."
P0132,Develop a simple QGIS workflow to register drinking water sources and attach lab test results in Green Park Extension. The tool should let users filter sources by parameter exceedance and export basic risk maps. The workflow must be documented step by step for non-expert staff.
P0133,"Prepare a policy brief comparing local construction debris rules in Hostel Zone B with best practices from other cities. The project will review bylaws, interview at least two stakeholders, and highlight specific clauses that hinder or support better waste management. Recommendations must be realistic for a medium-sized municipality."
P0134,"Design a low-cost water quality survey of handpumps in Shivaji Nagar. Students will create a sampling schedule, test for turbidity, pH, and residual chlorine, and log data in a structured spreadsheet. The goal is to flag unsafe sources and prepare a one-page brief for the local health worker."
P0135,"Prepare a flood susceptibility map for Ganga Vihar using open DEM and land-use data. The team will delineate low-lying areas, indicate major flow paths, and mark critical facilities like schools and health centres. Results should be summarized in a two-page note for disaster management staff."
P0136,"Estimate rooftop rainwater harvesting potential for a group of houses in Yamuna Enclave using GIS. The team should digitize roof areas, combine them with rainfall data, and suggest storage tank sizes. A one-page recommendation sheet for each house is required."
P0137,"Compare lifecycle costs of diesel generators vs solar-battery systems for rural clinics around Transport Nagar. The project involves collecting basic load data, modeling costs over ten years, and running sensitivity scenarios. Results must be shared in a concise briefing with charts."
P0138,"Prepare a flood susceptibility map for Hostel Zone B using open DEM and land-use data. The team will delineate low-lying areas, indicate major flow paths, and mark critical facilities like schools and health centres. Results should be summarized in a two-page note for disaster management staff."
P0139,"Conduct a household survey on plastic waste segregation behaviors in Ward 12. The project will design a short questionnaire, digitize responses in a mobile form, and present results to the ward committee. It should also suggest two or three locally feasible behavior-change messages."
P0140,"Conduct a household survey on plastic waste segregation behaviors in Ganga Vihar. The project will design a short questionnaire, digitize responses in a mobile form, and present results to the ward committee. It should also suggest two or three locally feasible behavior-change messages."
P0141,Develop a simple QGIS workflow to register drinking water sources and attach lab test results in Lakeview Colony. The tool should let users filter sources by parameter exceedance and export basic risk maps. The workflow must be documented step by step for non-expert staff.
P0142,"Prepare a flood susceptibility map for Hostel Zone B using open DEM and land-use data. The team will delineate low-lying areas, indicate major flow paths, and mark critical facilities like schools and health centres. Results should be summarized in a two-page note for disaster management staff."
P0143,"Create a GIS map of informal waste dumping sites around Ward 12. The project must combine GPS points, open satellite imagery, and simple spatial analysis to identify clusters of illegal dumping. Outputs should include a priority list of locations for municipal action."
P0144,"Design a combined air quality and noise monitoring node for a busy junction in Lakeview Colony. The system will log PM levels and sound pressure to the cloud, along with timestamps. Simple visualizations and a short note on health implications are expected."
P0145,"Carry out microbiological testing of stored household drinking water in Lakeview Colony, comparing it with source water quality. The project should follow strict sampling hygiene and laboratory protocols. Recommendations must focus on low-cost household behavior changes."
P0146,"Prepare a flood susceptibility map for Industrial Layout using open DEM and land-use data. The team will delineate low-lying areas, indicate major flow paths, and mark critical facilities like schools and health centres. Results should be summarized in a two-page note for disaster management staff."
P0147,"Build a mobile-friendly grievance app for reporting clogged drains and overflowing bins in Green Park Extension. The app should capture geo-tagged photos, categorize severity, and generate simple summary reports for municipal engineers. Offline data capture and later sync are desirable features."
